id,teamId,teamRank,teamTotal,shard,dbnos,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,mainWeapon
52,10,1,19,steam,2,3,10,359.876,alive,2,2,7,1,3,296.811,YuRe_Doi-G-P,account.cfcfb2c528cc46c4b802d6aa59e49c7a,0,3449.51,0,0.0,0,1645,0,2070.5,8,1,WeapSKS_C
42,15,1,18,steam,4,3,9,608.062,alive,0,7,7,2,3,172.914,WOMEIYOUKAIGUAA6,account.bd638286b5644b79b03b148e0fdef74a,0,4701.71,0,0.0,0,1648,0,2473.41,5,1,WeapBerylM762_C
45,11,1,17,steam,0,2,2,431.519,alive,0,0,13,1,1,10.743,WOMEIYOUKAIGUAA6,account.bd638286b5644b79b03b148e0fdef74a,2,4101.78,0,0.0,0,1570,0,1687.04,4,1,WeapFNFal_C
44,19,1,21,steam,4,2,8,667.135,alive,0,11,9,1,2,285.768,WOMEIYOUKAIGUAA6,account.bd638286b5644b79b03b148e0fdef74a,1,3873.68,0,150.795,0,1634,0,1340.0,8,1,WeapFNFal_C
46,15,1,17,steam,2,2,3,295.395,alive,1,2,10,1,2,88.9125,WOMEIYOUKAIGUAA6,account.bd638286b5644b79b03b148e0fdef74a,1,3537.17,0,0.0,0,1580,0,1974.45,6,1,WeapFNFal_C
41,6,1,18,steam,3,1,6,493.982,alive,0,1,4,1,3,128.726,WOMEIYOUKAIGUAA6,account.bd638286b5644b79b03b148e0fdef74a,1,3584.57,0,14.1818,0,1764,0,2975.38,6,1,WeapFNFal_C
56,4,1,17,steam,6,0,8,867.929,alive,1,5,1,2,5,222.988,TrunamSs,account.e85e1f2e68144885a416ce39c292f9f6,1,3804.88,0,0.0,0,1871,0,2436.71,6,1,WeapMini14_C
51,13,1,15,steam,6,4,5,1083.53,alive,3,4,2,2,6,102.939,TrunamSs,account.e85e1f2e68144885a416ce39c292f9f6,2,4318.88,0,0.0,0,1728,0,1385.95,7,1,WeapMk12_C
54,12,1,15,steam,3,8,12,863.225,alive,1,4,13,1,1,4.59554,TrunamSs,account.e85e1f2e68144885a416ce39c292f9f6,1,3502.44,0,0.0,0,1876,1,2107.72,9,1,WeapMk12_C
52,16,1,16,steam,2,7,8,986.925,alive,0,3,2,1,5,129.779,GuXinx_x,account.b8548b3c23444ae2ac09adcfcae76092,3,2377.86,0,55.048,0,1826,0,3068.6,6,1,WeapFNFal_C
